id,calories,carbs,fat
313,610,86.0,26
314,480,69.0,21
315,360,52.0,16
316,140,5.0,13
317,50,3.0,5
318,300,31.0,17
319,470,49.0,27
320,460,85.0,15
321,630,115.0,20
322,570,97.0,15
323,440,75.0,12
324,340,33.0,17
325,350,60.0,9
326,270,25.0,14
327,350,60.0,9
328,210,24.0,8
329,210,24.0,8
330,290,45.0,9
331,350,32.0,21
332,570,51.0,34
333,440,39.0,23
334,660,59.0,34
335,300,36.0,15
336,260,28.0,15
337,260,28.0,15
338,390,42.0,23
339,510,57.0,30
340,360,31.0,17
341,610,52.0,28
342,240,21.0,11
343,160,2.0,16
344,700,64.0,32
345,360,37.0,14
346,610,46.0,29
347,470,38.0,22
348,460,41.0,18
349,710,78.0,28
350,500,42.0,24
351,460,33.0,31
352,460,45.0,26
353,740,45.0,47
354,520,46.0,28
355,590,60.0,23
356,460,56.0,24
357,440,44.0,20
358,45,11.0,0
359,480,74.0,15
360,380,60.0,12
361,750,57.0,38
362,620,67.0,35
363,420,65.0,15
364,460,67.0,18
365,330,68.0,2
366,390,53.0,11
367,920,76.0,50
368,290,39.0,9
369,80,14.0,1
370,330,60.0,4
371,330,23.0,19
372,230,23.0,13
373,330,35.0,18
374,610,63.0,36
375,420,39.0,26
376,500,6.0,10
377,320,52.0,5
378,540,71.0,24
379,530,83.0,18
380,610,34.0,38
381,780,59.0,41
382,320,41.0,15
383,250,31.0,12
384,250,14.0,17
385,150,7.0,9
386,930,98.0,50
387,660,57.0,43
388,680,53.0,49
389,360,41.0,19
390,490,66.0,22
391,190,24.0,6
392,670,80.0,19
393,910,89.0,34
394,430,13.0,34
395,840,95.0,33
396,710,80.0,26
397,440,42.0,19
398,450,29.0,29
399,170,6.0,15
400,640,83.0,31
401,390,51.0,19
402,430,58.0,21
403,560,68.0,28
404,410,56.0,19
405,410,60.0,17
406,240,22.0,10
407,270,55.0,2
408,330,67.0,2
409,270,55.0,1
410,270,50.0,4
411,640,91.0,26
412,290,33.0,10
413,130,15.0,1
414,440,46.0,26
415,460,73.0,19
416,650,80.0,19
417,450,73.0,19
418,440,52.0,17
419,350,66.0,3
420,860,83.0,35
421,460,6.0,34
422,530,46.0,23
423,90,19.0,0
424,330,37.0,17
425,110,23.0,0
426,80,11.0,2
427,160,34.0,0
428,640,121.0,11
429,290,26.0,10
