id,name
2159,TCs Hard Cider Sampler
2160,The Original FATZ Sampler
2161,The Ultimate Chopped Chef Salad
2162,Traditional Caesar Salad
2163,Baked Spaghetti
2164,Baked Spaghetti with Meatballs
2165,"Breadstick, Dry (1 each)"
2166,Broccoli
2167,Broccoli and Fire Roasted Tomatoes
2168,Cheese Pizza
2169,Cheese Stuffed Pizza Sticks
2170,Cheesy Baked Ziti
2171,Cheesy Meatball Baked Spaghetti
2172,Cherry Almond Chicken
2173,Chicken Broccoli Florentine
2174,Chicken Broccoli Penne
2175,Chicken Carbonara
2176,Chicken Mushroom Alfredo Bake
2177,Chicken Parmigano
2178,Chicken Penne & Peppers
2179,Chicken Pesto
2180,Chicken Pesto
2181,Chocolate Chunk Cookie
2182,Chocolate Layer Cake
2183,Citrus Apple & Roasted Chicken
2184,Classic Sampler Platter
2185,Club Italiano
2186,Club Italiano
2187,Country Caesar
2188,Croutons (Pack)
2189,Fazoli’s Italian House
2190,Fazoli’s® Original
2191,Fazoli’s® Original
2192,Fettuccine Alfredo
2193,Fettuccine Alfredo
2194,Fettuccine with Alfredo
2195,Four Cheese Lasagna
2196,Garlic Breadstick (1 each)
2197,Garlic Chicken Baked Spaghetti
2198,Italian BLT
2199,Italian BLT
2200,Italian Lemon Ice – Medium
2201,Italian Lemon Ice – Small
2202,Italian Lemon Ice with Peach
2203,Italian Lemon Ice with Strawberry
2204,Italian Lemon Ice with Wildberry
2205,Italian Sampler
2206,Meat Lasagna
2207,Meatballs
2208,"Mushroom, Pepper & Onion Blend"
2209,NY Style Cheesecake with Strawberry Topping
2210,Pasta Ranch Italia
2211,Penne Romano
2212,Penne with Creamy Basil Chicken
2213,Pepperoni Classico
2214,Pepperoni Classico
2215,Pepperoni Pizza
2216,Pepperoni Stuffed Pizza Sticks
2217,Ravioli with Alfredo
2218,Ravioli with Marinara
2219,Ravioli with Meat Sauce
2220,Ravioli with Meat Sauce
2221,Roasted Chicken
2222,Roasted Chicken Platter
2223,Sausage & Peppers Baked Spaghetti
2224,Side Chopped Salad
2225,Sliced Italian Sausage
2226,Smoked Turkey Basil
2227,Smoked Turkey Breast
2228,Spaghetti or Penne Marinara
2229,Spaghetti with Alfredo
2230,Spaghetti with Marinara
2231,Spaghetti with Marinara Sauce
2232,Spaghetti with Meat Sauce
2233,Spaghetti with Meat Sauce
2234,Spaghetti with Meatballs
2235,"Spaghetti, Fettuccine, Penne or Bowtie with Alfredo"
2236,"Spaghetti, Fettuccine, Penne or Bowtie with Marinara"
2237,"Spaghetti, Fettuccine, Penne or Bowtie with Meat Sauce"
2238,Three Cheese Baked Ravioli
2239,Toasted Ravioli (Six)
2240,Toasted Ravioli (Twelve)
2241,Triple Cheese
2242,Triple Cheese
2243,Turtle Cheesecake
2244,Tuscan Chicken
2245,Twice-Baked Lasagna
2246,Ultimate Meatball Smasher
2247,Ultimate Sampler
2248,Vegetable Fresco
2249,Vegetable Fresco
2250,Whole Wheat Penne with Alfredo
2251,Whole Wheat Penne with Marinara
2252,Whole Wheat Penne with Meat Sauce
2253,Cheeseburger
2254,Grilled Cheese
2255,Large Fries
2256,Little Cheeseburger
2257,One Serving of Fries approx half of regular order
2258,Regular Fries
2259,Veggie Sandwich
2260,Apple Pie Turnover
2261,Batter Coat French Fries
2262,Buffalo Tender Sandwich
2263,Chocolate Chip Cookie
2264,Chunky Chicken Salad
2265,Chunky Chicken Salad Sandwich
2266,Classic Potato Salad
2267,Coleslaw
2268,Corn Nuggets
2269,Corn on the Cob
2270,Dirty Rice
2271,Fresh Baked Yeast Roll
2272,Fresh Brewed Iced Tea Sweetened
2273,Fresh Brewed Iced Tea Unsweetened
2274,Fried Breaded Catfish
2275,Fried Chicken Breast
2276,Fried Chicken Leg
2277,Fried Chicken Tenders
2278,Fried Chicken Thigh
2279,Fried Chicken Wing
2280,Fried Okra
2281,Golden Roast Chicken Breast
2282,Golden Roast Chicken Leg
2283,Golden Roast Chicken Thigh
2284,Golden Roast Chicken Wing
2285,Golden Tender Sandwich
2286,Green Beans
2287,Mac & Cheese
2288,Mashed Potatoes
2289,Minute Maid Raspberry Lemonade
2290,Mozzarella Sticks
2291,Oatmeal Raisin Cookie
2292,Southwest Style Pinto Beans
2293,Tropical Fruit Salad
2294,White Chocolate Macadamia Nut Cookie
2295,White Cream Peppered Gravy
2296,1/3 LB** Cheeseburger Thickburger®
2297,1/3 LB** Frisco Thickburger®
2298,1/3 LB** Low Carb Thickburger®
2299,1/3 LB** Mushroom & Swiss Thickburger®
2300,1/3 LB** Original Thickburger®
2301,2/3 LB** Double Thickburger®
2302,2/3 LB** Monster Thickburger®
2303,3 Piece Hand Breaded Chicken Tenders™
2304,5 Piece Hand Breaded Chicken Tenders™
2305,Apple Turnover (without Cinnamon Sugar Topping)
2306,Big Roast Beef™
2307,Biscuit ‘N’ Gravy™
2308,Charbroiled BBQ Chicken Sandwich
2309,Charbroiled Chicken Club™ Sandwich
2310,Chicken Fillet Biscuit
2311,Chocolate Chip Cookie
2312,Chocolate Chip Cookie – Fresh Baked
2313,Cinnamon ‘N’ Raisin™ Biscuit
2314,Cole Slaw (small = 1 serving)
2315,Country Fried Steak Biscuit
2316,Crispy Curls™ – Large
2317,Crispy Curls™ – Medium
2318,Crispy Curls™ – Small
2319,Double Cheeseburger
2320,Fish Supreme Sandwich
2321,Fried Chicken Breast
2322,Fried Chicken Leg
2323,Fried Chicken Thigh
2324,Fried Chicken Wing
2325,Frisco Breakfast Sandwich®
2326,Grits
2327,Hand Breaded Chicken Fillet™ Sandwich
2328,Hand-Scooped Ice Cream Malt™†
2329,Hand-Scooped Ice Cream Shake™†
2330,Hash Rounds® – Large
2331,Hash Rounds® – Medium
2332,Hash Rounds® – Small
2333,Jelly Biscuit
2334,Kids Meal – Cheeseburger
2335,Kids Meal – Chicken Tenders
2336,Little Thick Cheeseburger
2337,Little Thickburger®
2338,Loaded Breakfast Burrito
2339,Loaded Omelet Biscuit
2340,Low Carb Breakfast Bowl®
2341,Low Carb Charbroiled Chicken Club™ Sandwich
2342,Made from Scratch Biscuit™
2343,Mashed Potatoes (small = 1 serving)
2344,Monster Biscuit®
2345,Natural-Cut French Fries – Kids
2346,Natural-Cut French Fries – Large
2347,Natural-Cut French Fries – Medium
2348,Natural-Cut French Fries – Small
2349,Original Turkey Burger
2350,Pancakes* (3)
2351,Peach Cobbler (small)
2352,Regular Roast Beef Sandwich
2353,Sausage & Egg Biscuit
2354,Sausage Biscuit
2355,Side Salad (no dressing)
2356,Single Scoop Ice Cream Bowl†
2357,Single Scoop Ice Cream Cone†
2358,Small Cheeseburger
2359,Smoked Sausage Biscuit
2360,Spicy Chicken Sandwich
2361,The Six Dollar Thickburger®
2362,(3) Chocolate Chip Pancakes
2363,(3) CINN-A-STACK® Pancakes
2364,(3) Cinnamon Apple Pancakes
2365,(3) Double Blueberry Pancakes
2366,(3) Harvest Grain ‘N Nut® Pancakes
2367,(3) New York Cheesecake Pancakes
2368,(3) Original Buttermilk Pancakes
2369,(3) Strawberry Banana Pancakes
2370,(3) Strawberry Pancakes
2371,1/2 Double BLT Sandwich
2372,1/2 Pot Roast Melt Sandwich
2373,1/2 Turkey Sandwich
2374,Add (1) Portuguese Sausage Link
2375,Add (2) Smoked Sausage Links
2376,Add (3) Buttermilk Pancakes
2377,Add (4) Turkey Sausage Links
2378,Add Blueberry Compote w/Whipped Topping
2379,Add Cinnamon Apple Compote w/Whipped Topping
2380,Add Corn Tortillas
2381,Add Corned Beef Hash
2382,Add Country/Chicken Fried Steak & Country Gravy
2383,Add Country/Chicken Fried Steak & Sausage Gravy
2384,Add Flour Tortillas
2385,Add Hot Fudge
2386,Add Hot Fudge
2387,"Add Ice Cream, Chocolate, (1) scoop"
2388,"Add Ice Cream, Chocolate, (1) scoop"
2389,"Add Ice Cream, Strawberry, (1) scoop"
2390,"Add Ice Cream, Strawberry, (1) scoop"
2391,"Add Ice Cream, Vanilla, (1) scoop"
2392,"Add Ice Cream, Vanilla, (1) scoop"
2393,Add Side of Scrapple
2394,Add Side of Spam®
2395,Add Strawberry Topping
2396,Add Strawberry Topping
2397,Add Strawberry Topping w/Whipped Topping
2398,Add Top Sirloin Steak
2399,Add Top Sirloin Steak
2400,Appetizer Sampler
2401,"Apple Juice, 10 fl oz"
2402,"Apple Juice, 12 fl oz (Kid’s Cup)"
2403,"Apple Juice, 16 fl oz"
2404,"Apple Juice, Carafe"
2405,Baby Cakes
2406,Baked Potato
2407,Belgian Waffle Combo
2408,Belgian Waffle w/Butter
2409,"Belgian Waffle, Plain"
2410,Big Country Breakfast
2411,Big Country Breakfast
2412,Big Steak Omelette
2413,Big Two-Egg Breakfast
2414,Biscuits & Gravy Combo w/Country Gravy
2415,Biscuits & Gravy Combo w/Sausage Gravy
2416,Breakfast Sampler
2417,Broccoli Cheese Soup
2418,Broccoli Cheese Soup
2419,Broccoli Cheese Soup
2420,Broccoli Cheese Soup
2421,Cheese Blintzes
2422,Cheese Omelette
2423,Cheeseburger
2424,Cheesy Western Omelette with Fresh Fruit
2425,Cheesy Western Omelette with Pancakes
2426,Chicken & Spinach Salad
2427,Chicken & Waffles
2428,Chicken Clubhouse Super Stacker
2429,Chicken Fajita Omelette
2430,Chicken Fajita Quesadilla
2431,Chicken Fajita Salad
2432,Chicken Fajita Salad w/Avocado
2433,Chicken Florentine Crepes
2434,Chicken Fried Chicken & Eggs w/Country Gravy
2435,Chicken Fried Chicken & Eggs w/Sausage Gravy
2436,Chicken Fried Chicken w/Country Gravy
2437,Chicken Fried Chicken w/Sausage Gravy
2438,Chicken Noodle Soup
2439,Chicken Noodle Soup
2440,Chicken Noodle Soup
