id,name
206,"Grilled Shrimp ‘N Spinach Salad, Half w/o dressing"
207,"Grilled Shrimp ‘N Spinach Salad, Regular"
208,"Grilled Shrimp ‘N Spinach Salad, Regular w/o dressing"
209,"Grilled Steak Caesar, Half"
210,"Grilled Steak Caesar, Half w/o dressing"
211,"Grilled Steak Caesar, Regular"
212,"Grilled Steak Caesar, Regular w/o dressing"
213,Hand-Battered Fish & Chips
214,Hand-Battered Fish Sandwich
215,Honey BBQ Chicken Sandwich
216,Hot Fudge Sundae Shooter
217,House Salad
218,House Sirloin
219,House Sirloin
220,Kids 4oz Sirloin Steak
221,Kids Apple Juice (6.75 oz)
222,Kids Applesauce side
223,Kids Celery side with Dressing
224,Kids Cheese Pizza
225,Kids Chicken Tenders
226,Kids Chocolate Milk (1% 8oz)
227,Kids Fried Shrimp
228,Kids Grape Juice (6.75 oz)
229,Kids Grilled Cheese (Hawaiian bread)
230,Kids Grilled Cheese (sourdough bread)
231,Kids Grilled Chicken Sandwich
232,Kids Hot Fudge Sundae
233,Kids Kraft Macaroni and Cheese
234,Kids Milk (1% or 2% 8 oz)
235,Kids Mini Cheeseburger – 1
236,Kids Mini Cheeseburgers – 2
237,Kids Orange-Tangerine Juice (6.75 oz)
238,Kids OREO® Cookie Milkshake
239,Kids OREO® Cookie Sundae
240,Kids Pasta with Marinara Sauce
241,Kids Steamed Broccoli Side
242,Kids Strawberry Sundae
243,Kids Tropicana Fruit Punch (12 oz)
244,Kids Vanilla Sundae
245,Kids Vanilla Sundae with Hershey’s Syrup
246,Loaded Baked Potato
247,Loaded Mashed Potatoes
248,Maple Butter Blondie
249,Margherita Chicken
250,Mozzarella Sticks
251,New England Fish & Chips
252,New York Strip
253,Orange Glazed Salmon
254,Oriental Chicken Rollup
255,Oriental Chicken Salad
256,"Oriental Chicken Salad, Half"
257,"Oriental Chicken Salad, Half w/o dressing"
258,"Oriental Chicken Salad, Regular"
259,"Oriental Chicken Salad, Regular w/o dressing"
260,Oriental Grilled Chicken Salad
261,"Oriental Grilled Chicken Salad, Half"
262,"Oriental Grilled Chicken Salad, Half w/o dressing"
263,"Oriental Grilled Chicken Salad, Regular"
264,"Oriental Grilled Chicken Salad, Regular w/o dressing"
265,"Pecan-Crusted Chicken Salad, Half"
266,"Pecan-Crusted Chicken Salad, Half w/o dressing"
267,"Pecan-Crusted Chicken Salad, Regular"
268,"Pecan-Crusted Chicken Salad, Regular w/o dressing"
269,Philly Burger
270,Potato Skins
271,Potato Twisters
272,Provolone-Stuffed Meatballs with Fettuccine
273,Quesadilla Burger
274,Queso Blanco
275,Queso Blanco with chili
276,Red Beans & Rice
277,Ribeye
278,Riblet and Chicken Tenders Basket
279,1% Lowfat Chocolate Milk*
280,2% Reduced Fat White Milk*
281,Angus Cool Deli Sandwich
282,Angus Cool Deli Wrap
283,Apple Turnover
284,Applesauce
285,Arby’s Melt
286,Arby’s Sauce® Adds
287,Beef’n Cheddar Classic
288,Beef’n Cheddar Max
289,Beef’n Cheddar Mild
290,Buffalo Dipping Sauce Adds
291,CapriSun® Fruit Juice
292,Cherry Turnover
293,Chicken Biscuit*
294,Chicken Cordon Bleu – Crispy
295,Chicken Cordon Bleu – Roast
296,Chocolate Chunk Cookies (2)
297,Chocolate Shake – Regular
298,Chocolate Shake – Small
299,Chocolate Turnover
300,Chopped Farmhouse Chicken Salad – Crispy
301,Chopped Farmhouse Chicken Salad – Roast
