id,name,restaurant_id,category_id
169,"Classic Wings, Sweet & spicy sauce",2,10
170,Cole Slaw,2,3
171,Cowboy Burger,2,7
172,Crispy Orange Chicken,2,8
173,Crunchy Onion Rings,2,10
174,"Crunchy Onion Rings, Side",2,3
175,Decadent Shakes,2,2
176,Double Crunch Shrimp,2,9
177,Double-Glazed Baby Back Ribs,2,13
178,Double-Glazed Baby Back Ribs – Half Rack,2,13
179,Fiesta Lime Chicken®,2,8
180,Florentine Ravioli with Chicken,2,5
181,French Dip Sliders,2,7
182,French Dip Sliders,2,7
183,French Onion Soup,2,14
184,"Fresh Fruit, Side",2,3
185,Fried Chicken Salad,2,11
186,"Fried Chicken Salad, Half",2,11
187,"Fried Chicken Salad, Half w/o dressing",2,11
188,"Fried Chicken Salad, Regular",2,11
189,"Fried Chicken Salad, Regular w/o dressing",2,11
190,Fried Red Potatoes,2,3
191,"Fries, Side",2,6
192,"Fries, Side",2,15
193,Frozen Lemonades,2,1
194,Garlic Herb Salmon,2,9
195,Garlic Mashed Potatoes,2,3
196,"Grilled Chicken Caesar, Half",2,11
197,"Grilled Chicken Caesar, Half w/o dressing",2,11
198,"Grilled Chicken Caesar, Regular",2,11
199,"Grilled Chicken Caesar, Regular w/o dressing",2,11
200,Grilled Chicken Wonton Tacos,2,10
201,Grilled Dijon Chicken & Portobellos,2,5
202,Grilled Dijon Chicken & Portobellos,2,8
203,Grilled Shrimp & Island Rice,2,9
204,Grilled Shrimp ‘N Spinach Salad,2,11
205,"Grilled Shrimp ‘N Spinach Salad, Half",2,11
206,"Grilled Shrimp ‘N Spinach Salad, Half w/o dressing",2,11
207,"Grilled Shrimp ‘N Spinach Salad, Regular",2,11
208,"Grilled Shrimp ‘N Spinach Salad, Regular w/o dressing",2,11
209,"Grilled Steak Caesar, Half",2,11
210,"Grilled Steak Caesar, Half w/o dressing",2,11
211,"Grilled Steak Caesar, Regular",2,11
212,"Grilled Steak Caesar, Regular w/o dressing",2,11
213,Hand-Battered Fish & Chips,2,9
214,Hand-Battered Fish Sandwich,2,12
215,Honey BBQ Chicken Sandwich,2,12
216,Hot Fudge Sundae Shooter,2,4
217,House Salad,2,11
218,House Sirloin,2,5
219,House Sirloin,2,5
220,Kids 4oz Sirloin Steak,2,15
221,Kids Apple Juice (6.75 oz),2,15
222,Kids Applesauce side,2,15
223,Kids Celery side with Dressing,2,15
224,Kids Cheese Pizza,2,15
225,Kids Chicken Tenders,2,15
226,Kids Chocolate Milk (1% 8oz),2,15
227,Kids Fried Shrimp,2,15
228,Kids Grape Juice (6.75 oz),2,15
229,Kids Grilled Cheese (Hawaiian bread),2,15
230,Kids Grilled Cheese (sourdough bread),2,15
231,Kids Grilled Chicken Sandwich,2,15
232,Kids Hot Fudge Sundae,2,15
233,Kids Kraft Macaroni and Cheese,2,15
234,Kids Milk (1% or 2% 8 oz),2,15
235,Kids Mini Cheeseburger – 1,2,15
236,Kids Mini Cheeseburgers – 2,2,15
237,Kids Orange-Tangerine Juice (6.75 oz),2,15
238,Kids OREO® Cookie Milkshake,2,15
239,Kids OREO® Cookie Sundae,2,15
240,Kids Pasta with Marinara Sauce,2,15
241,Kids Steamed Broccoli Side,2,15
242,Kids Strawberry Sundae,2,15
243,Kids Tropicana Fruit Punch (12 oz),2,15
244,Kids Vanilla Sundae,2,15
245,Kids Vanilla Sundae with Hershey’s Syrup,2,15
246,Loaded Baked Potato,2,3
247,Loaded Mashed Potatoes,2,3
248,Maple Butter Blondie,2,4
249,Margherita Chicken,2,8
250,Mozzarella Sticks,2,10
251,New England Fish & Chips,2,9
252,New York Strip,2,5
253,Orange Glazed Salmon,2,9
254,Oriental Chicken Rollup,2,12
255,Oriental Chicken Salad,2,11
256,"Oriental Chicken Salad, Half",2,11
257,"Oriental Chicken Salad, Half w/o dressing",2,11
258,"Oriental Chicken Salad, Regular",2,11
259,"Oriental Chicken Salad, Regular w/o dressing",2,11
260,Oriental Grilled Chicken Salad,2,11
261,"Oriental Grilled Chicken Salad, Half",2,11
262,"Oriental Grilled Chicken Salad, Half w/o dressing",2,11
263,"Oriental Grilled Chicken Salad, Regular",2,11
264,"Oriental Grilled Chicken Salad, Regular w/o dressing",2,11
265,"Pecan-Crusted Chicken Salad, Half",2,11
266,"Pecan-Crusted Chicken Salad, Half w/o dressing",2,11
267,"Pecan-Crusted Chicken Salad, Regular",2,11
268,"Pecan-Crusted Chicken Salad, Regular w/o dressing",2,11
269,Philly Burger,2,7
270,Potato Skins,2,10
271,Potato Twisters,2,10
272,Provolone-Stuffed Meatballs with Fettuccine,2,5
273,Quesadilla Burger,2,7
274,Queso Blanco,2,10
275,Queso Blanco with chili,2,10
276,Red Beans & Rice,2,3
277,Ribeye,2,5
278,Riblet and Chicken Tenders Basket,2,8
279,1% Lowfat Chocolate Milk*,3,15
280,2% Reduced Fat White Milk*,3,15
281,Angus Cool Deli Sandwich,3,12
282,Angus Cool Deli Wrap,3,16
283,Apple Turnover,3,4
284,Applesauce,3,15
285,Arby’s Melt,3,12
286,Arby’s Sauce® Adds,3,12
287,Beef’n Cheddar Classic,3,12
288,Beef’n Cheddar Max,3,12
289,Beef’n Cheddar Mild,3,12
290,Buffalo Dipping Sauce Adds,3,3
291,CapriSun® Fruit Juice,3,15
292,Cherry Turnover,3,4
293,Chicken Biscuit*,3,17
294,Chicken Cordon Bleu – Crispy,3,8
295,Chicken Cordon Bleu – Roast,3,8
296,Chocolate Chunk Cookies (2),3,4
297,Chocolate Shake – Regular,3,2
298,Chocolate Shake – Small,3,2
299,Chocolate Turnover,3,4
300,Chopped Farmhouse Chicken Salad – Crispy,3,11
301,Chopped Farmhouse Chicken Salad – Roast,3,11
302,Chopped Side Salad,3,11
303,Classic Italian Toasted Sub,3,12
304,Cravin’ Chicken Sandwich – Crispy,3,12
305,Cravin’ Chicken Sandwich – Roast,3,12
306,Curly Fries – Kids,3,15
307,Curly Fries – Large,3,6
308,Curly Fries – Medium,3,6
309,Curly Fries – Small,3,6
310,Curly Fries – Value,3,6
311,French Dip & Swiss/Au Jus,3,12
312,Homestyle Fries – Kids,3,15
313,Homestyle Fries – Large,3,6
314,Homestyle Fries – Medium,3,6
315,Homestyle Fries – Small,3,6
316,Honey Dijon Mustard Sauce Adds,3,3
317,Horsey Sauce® Adds,3,12
318,Jalapeno Bites® – (5),3,3
319,Jalapeno Bites® – (8),3,3
320,Jamocha Oreo® Shake – Small,3,2
321,Jamocha Oreo® Swirl Shake – Regular,3,2
322,Jamocha Shake – Regular,3,2
323,Jamocha Shake – Small,3,2
324,Jr Chicken Sandwich,3,12
325,Jr Chocolate Shake,3,2
326,Jr Deluxe Sandwich,3,12
327,Jr Jamocha Shake,3,2
328,Jr Roast Beef,3,15
329,Jr Roast Beef Sandwich,3,12
330,Jr Vanilla Shake,3,2
331,Loaded Potato Bites® – (5),3,3
332,Loaded Potato Bites® – (8),3,3
333,Mozzarella Sticks – (4),3,3
334,Mozzarella Sticks – (6),3,3
335,Outside-In Cinnamon Bites™,3,17
336,Potato Cakes (2),3,15
337,Potato Cakes (2),3,3
338,Potato Cakes (3),3,3
